brand;model;version;registration_base_description;my_code;control;msrp;retail_bonus;trade_in_bonus;subsidized_rate_monthly;rate_cost;insurance_years;ipva_value;others_bonus;dealer_rebate;total_customer_benefit;comment;offer_month_code
BYD;Dolphin;GS EV;I/BYD DOLPHIN GS 180EV;2525;BYD Dolphin GS EV 2525;159800;;;;;;;;;;;202506
BYD;Dolphin;Plus EV;I/BYD DOLPHIN PLUS 310EV;2525;BYD Dolphin Plus EV 2525;184800;;;;;;;;;;;202506
GWM;Ora 03;Skin EV;I/GWM ORA 03 SKIN BEV48;2526;GWM Ora 03 Skin EV 2526;169000;;;;;;;;;;;202506
GWM;Ora 03;GT EV;I/GWM ORA 03 GT BEV63;2526;GWM Ora 03 GT EV 2526;199000;;;;;;;;;;;202506
Volvo;EX30;Core EV;I/VOLVO EX30 E40 CORE;2424;Volvo EX30 Core EV 2424;229950;;;;;;;;;;;202506
Volvo;EX30;Core ER EV;I/VOLVO EX30 E60 CORE;2424;Volvo EX30 Core ER EV 2424;249950;;;;;;;;;;;202506
Volvo;EX30;Plus EV;I/VOLVO EX30 E60 PLUS;2424;Volvo EX30 Plus EV 2424;269950;;;;;;;;;;;202506
Volvo;EX30;Ultra EV;I/VOLVO EX30 E60 ULTRA;2424;Volvo EX30 Ultra EV 2424;299950;;;;;;;;;;;202506
BYD;Song Pro;GL 1.5 PHEV DHT;I/BYD SONG PRO GL DM;2425;BYD Song Pro GL 1.5 PHEV DHT 2425;194800;15000;0;0;0;1;YES;0;0;0;Insurance OR IPVA;202506
BYD;Song Pro;GS 1.5 PHEV DHT;I/BYD SONG PRO GS DM;2425;BYD Song Pro GS 1.5 PHEV DHT 2425;204800;20000;0;0,007512;0;1;0;0;0;0;0;202506
BYD;Song Pro;GS 1.5 PHEV DHT;I/BYD SONG PRO GS DM;2526;BYD Song Pro GS 1.5 PHEV DHT 2526;199990;0;0;0;0;0;0;0;0;0;0;202506
BYD;Song Plus;GS 1.5 PHEV DHT;I/BYD SONG PLUS GS DM;2526;BYD Song Plus GS 1.5 PHEV DHT 2526;249990;0;20000;0;0;0;0;0;0;0;Song old models;202506
BYD;Song Plus;Premium 1.5 TGDI PHEV DHT;I/BYD SONG PLUS PREM DM;2526;BYD Song Plus Premium 1.5 TGDI PHEV DHT 2526;299800;0;20000;0;0;0;0;0;0;0;Song old models;202506
Omoda;C5;Comfort 1.5 TGDI HEV DHT;;2526;Omoda C5 Comfort 1.5 TGDI HEV DHT 2526;149990;0;0;0;0;0;0;0;0;0;0;202507
Omoda;C5;Luxury 1.5 TGDI HEV DHT;I/OMODA 5 HEV LUXURY;2526;Omoda C5 Luxury 1.5 TGDI HEV DHT 2526;159990;0;0;0;0;0;0;0;0;0;0;202507
Omoda;C5;Prestige 1.5 TGDI HEV DHT;I/OMODA 5 HEV PRESTIGE;2526;Omoda C5 Prestige 1.5 TGDI HEV DHT 2526;191990;0;0;0;0;0;0;0;0;0;0;202507
Omoda;C7;Luxury 1.5 TGDI PHEV DHT;I/OMODA 7 PHEV LUXURY;2526;Omoda C7 Luxury 1.5 TGDI PHEV DHT 2526;254990;0;0;0;0;0;0;0;0;0;0;202507
Omoda;C7;Prestige 1.5 TGDI PHEV DHT;I/OMODA 7 PHEV PRESTIGE;2526;Omoda C7 Prestige 1.5 TGDI PHEV DHT 2526;279990;0;0;0;0;0;0;0;0;0;0;202507
Honda;HR-V;EX 1.5 CVT;"HONDA/HR-V EX;HONDA/HR-V EX HS";2525;Honda HR-V EX 1.5 CVT 2525;156100;0;0;0;0;0;0;0;0;0;0;202507
Honda;HR-V;EXL 1.5 CVT;"HONDA/HR-V EXL;HONDA/HR-V EXL HS";2525;Honda HR-V EXL 1.5 CVT 2525;165900;0;0;0;0;0;0;0;0;0;0;202507
Honda;HR-V;Advance 1.5 TGDI CVT;HONDA/HR-V ADVANCE;2525;Honda HR-V Advance 1.5 TGDI CVT 2525;192700;0;0;0;0;0;0;0;0;0;0;202507
Honda;HR-V;Touring  1.5 TGDI CVT;HONDA/HR-V TOURING;2525;Honda HR-V Touring  1.5 TGDI CVT 2525;204200;0;0;0;0;0;0;0;0;0;0;202507
BYD;Dolphin;Mini GS EV;I/BYD DOLPHIN MINI GS EV;2525;BYD Dolphin Mini GS EV 2525;122800;3000;0;0;0;0;0;0;6000;6000;0;202507
BYD;Dolphin;GS EV;I/BYD DOLPHIN GS 180EV;2525;BYD Dolphin GS EV 2525;159800;20000;0;0;0;0;0;0;3000;3000;0;202507
BYD;Dolphin;Plus EV;I/BYD DOLPHIN PLUS 310EV;2525;BYD Dolphin Plus EV 2525;184800;15000;0;0;0;0;0;0;0;0;0;202507
BYD;Yuan Plus;GL EV;I/BYD YUAN PLUS GL 310EV;2525;BYD Yuan Plus GL EV 2525;235800;0;0;0;0;0;0;0;0;0;0;202507
BYD;Yuan Pro;GS EV;I/BYD YUAN PRO GS 290EV;2525;BYD Yuan Pro GS EV 2525;182800;0;0;0;0;0;0;0;0;0;0;202507
BYD;Yuan Plus;GL EV;I/BYD YUAN PLUS GL 310EV;2526;BYD Yuan Plus GL EV 2526;249990;0;0;0;0;0;0;0;0;0;0;202507
BYD;Song Plus;Premium 1.5 TGDI PHEV DHT;I/BYD SONG PLUS PREM DM;2526;BYD Song Plus Premium 1.5 TGDI PHEV DHT 2526;299800;0;7000;0;0;1;7000;0;0;0;0;202507
BYD;Song Pro;GL 1.5 PHEV DHT;I/BYD SONG PRO GL DM;2525;BYD Song Pro GL 1.5 PHEV DHT 2525;194800;0;0;0;0;0;0;0;0;0;0;202507
BYD;Song Pro;GS 1.5 PHEV DHT;I/BYD SONG PRO GS DM;2526;BYD Song Pro GS 1.5 PHEV DHT 2526;204800;10000;0;0;0;1;0;0;0;0;0;202507
GAC;Aion V;Elite EV;I/GAC AION V ELITE;2526;GAC Aion V Elite EV 2526;214990;0;0;0;0;0;0;0;0;0;0;202507
GAC;GS4;Premium 2.0 HEV CVT;I/GAC GS4 PREMIUM;2526;GAC GS4 Premium 2.0 HEV CVT 2526;189990;0;0;0;0;0;0;0;0;0;0;202507
GAC;GS4;Elite 2.0 HEV CVT;I/GAC GS4 ELITE;2526;GAC GS4 Elite 2.0 HEV CVT 2526;199990;0;0;0;0;0;0;0;0;0;0;202507
GWM;Haval H6;One 1.5 TGDI HEV DHT;I/GWM HAVAL H6 HEV;2525;GWM Haval H6 One 1.5 TGDI HEV DHT 2526;199000;0;10000;0,895036;0;0;0;0;4000;4000;0;202507
GWM;Haval H6;2 1.5 TGDI HEV DHT;"I/GWM HAVAL H6 PREM HEV;I/GWM HAVAL H6 HEV2";2525;GWM Haval H6 2 1.5 TGDI HEV DHT 2525;220000;0;15000;0,006024;11700;1;0;0;5000;26700;0;202507
GWM;Haval H6;19 1.5 TGDI PHEV DHT;"I/GWM HAVAL H6 PHEV 19;I/GWM HAVAL H6 PHEV19";2525;GWM Haval H6 19 1.5 TGDI PHEV DHT 2525;245000;0;15000;0,006024;13000;1;0;0;5000;28000;0;202507
GWM;Haval H6;34 1.5 TGDI PHEV DHT;I/GWM HAVAL H6 PREM PHEV;2525;GWM Haval H6 34 1.5 TGDI PHEV DHT 2525;288000;0;25000;0,006024;15300;1;0;0;10000;40300;0;202507
GWM;Haval H6;GT 1.5 TGDI PHEV DHT;I/GWM HAVAL H6 GT;2525;GWM Haval H6 GT 1.5 TGDI PHEV DHT 2525;325000;0;25000;0,006024;0;1;0;0;10000;10000;0;202507
GWM;Ora 03;Skin EV;I/GWM ORA 03 SKIN BEV48;2526;GWM Ora 03 Skin EV 2526;169000;0;10000;0,006024;0;1;0;0;3380;3380;0;202507
GWM;Ora 03;GT EV;I/GWM ORA 03 GT BEV63;2526;GWM Ora 03 GT EV 2526;199000;0;0;;0;0;0;0;0;0;0;202507
Jeep;Compass;Sport 1.3 TGDI AT;JEEP/COMPASS SPORT T;2525;Jeep Compass Sport 1.3 TGDI AT 2525;189990;0;0;0;0;0;0;0;0;0;0;202507
Jeep;Compass;Longitude 1.3 TGDI AT;JEEP/COMPASS LONG T;2525;Jeep Compass Longitude 1.3 TGDI AT 2525;211990;12000;20000;0,00603;0;0;0;0;0;0;0;202507
Jeep;Compass;Limited 1.3 TGDI AT;JEEP/COMPASS LIMITED T;2525;Jeep Compass Limited 1.3 TGDI AT 2525;231490;22000;0;0,00603;0;0;0;0;0;0;0;202507
Jeep;Compass;Serie S 1.3 TGDI AT;JEEP/COMPASS SERIE S T;2525;Jeep Compass Serie S 1.3 TGDI AT 2525;251990;4000;20000;0,00603;0;0;0;0;0;0;0;202507
Jeep;Compass;Overland 2.0 TGDI AT;JEEP/COMPASS OVERLA 2.0T;2525;Jeep Compass Overland 2.0 TGDI AT 2525;276990;3000;20000;0,00603;0;0;0;0;0;0;0;202507
Jeep;Compass;Blackhawk 2.0 TGDI AT;JEEP/COMPASS BLACKHAWK;2525;Jeep Compass Blackhawk 2.0 TGDI AT 2525;296490;3000;25000;0,00603;0;0;0;0;0;0;0;202507
Toyota;Corolla Cross;XRX 1.8 HEV CVT;TOYOTA/CCROSS XRX HYBRID;2526;Toyota Corolla Cross XRX 1.8 HEV CVT 2526;219890;0;0;0;0;0;0;0;0;0;0;202507
Toyota;Corolla Cross;XR 2.0 CVT;TOYOTA/CCROSS XR 20;2526;Toyota Corolla Cross XR 2.0 CVT 2526;182990;0;0;0;0;0;0;0;0;0;0;202507
Toyota;Corolla Cross;XRE 2.0 CVT;TOYOTA/CCROSS XRE 20;2526;Toyota Corolla Cross XRE 2.0 CVT 2526;191190;0;0;0;0;0;0;0;0;0;0;202507
Toyota;Corolla Cross;XRX 2.0 CVT;TOYOTA/CCROSS XRX 20;2526;Toyota Corolla Cross XRX 2.0 CVT 2526;207990;0;0;0;0;0;0;0;0;0;0;202507
VW;Taos;Comfortline 1.4 TGDI AT;I/VW TAOS CL TSI;2525;VW Taos Comfortline 1.4 TGDI AT 2525;206990;21100;0;0,006024;0;0;0;0;0;0;0;202507
VW;Taos;Highline 1.4 TGDI AT;I/VW TAOS HL TSI;2525;VW Taos Highline 1.4 TGDI AT 2525;231990;26000;0;0,006024;0;0;0;0;0;0;0;202507
Hyundai;Creta;Comfort 1.0 TGDI AT;HYUNDAI/CRETA1TF COMFORT;2526;Hyundai Creta Comfort 1.0 TGDI AT 2526;149620;10000;0;0,006018;0;0;0;0;7400;7400;0;202507
Hyundai;Creta;Limited 1.0 TGDI AT;HYUNDAI/CRETA1TF LIMITED;2526;Hyundai Creta Limited 1.0 TGDI AT 2526;165620;13500;0;0,006018;6600;0;0;0;5500;20100;0;202507
Hyundai;Creta;Platinum 1.0 TGDI AT;HYUNDAI/CRETA1TF PLATINU;2526;Hyundai Creta Platinum 1.0 TGDI AT 2526;181220;8000;0;0,006018;0;0;0;0;5000;5000;0;202507
Hyundai;Creta;Ultimate 1.6 TGDI DCT;HYUNDAI/CRETA16G ULTIMTE;2526;Hyundai Creta Ultimate 1.6 TGDI DCT 2526;198120;6000;0;0,006018;0;0;0;0;5000;5000;0;202507
Hyundai;Creta;N Line 1.0 TGDI AT;HYUNDAI/CRETA1TF NLINE;2526;Hyundai Creta N Line 1.0 TGDI AT 2526;188720;8000;0;0,006018;0;0;0;0;5600;5600;0;202507
VW;T-Cross;Sense 1.0 TGDI AT;VW/T CROSS SENSE TSI;2526;VW T-Cross Sense 1.0 TGDI AT 2526;119990;0;0;0,007018;0;0;0;0;0;0;0;202507
VW;T-Cross;1.0 TGDI AT;VW/T CROSS TSI;2526;VW T-Cross 1.0 TGDI AT 2526;154990;5000;8000;0,006024;0;0;0;0;0;0;0;202507
VW;T-Cross;Comfortline 1.0 TGDI AT;VW/T CROSS CL TSI;2526;VW T-Cross Comfortline 1.0 TGDI AT 2526;174290;7000;10000;0,006024;0;0;0;0;0;0;0;202507
VW;T-Cross;Highline 1.4 TGDI AT;VW/T CROSS HL TSI;2526;VW T-Cross Highline 1.4 TGDI AT 2526;187490;10000;7000;0,00603;0;0;0;0;0;0;0;202507
VW;T-Cross;Extreme 1.4 TGDI AT;VW/T CROSS EXTREME TSI;2526;VW T-Cross Extreme 1.4 TGDI AT 2526;191990;10000;7000;0,00603;0;0;0;0;0;0;0;202507
GM;Tracker;1.0 TGDI AT;CHEV/TRACKER T A;2525;GM Tracker 1.0 TGDI AT 2525;119900;0;0;0;0;0;0;0;0;0;0;202507
GM;Tracker;LT 1.0 TGDI AT;"I/CHEV TRACKER T A LT;CHEV/TRACKER T A LT";2525;GM Tracker LT 1.0 TGDI AT 2525;154090;0;0;0;0;0;0;0;0;0;0;202507
GM;Tracker;LTZ 1.0 TGDI AT;CHEV/TRACKER T A LTZ;2525;GM Tracker LTZ 1.0 TGDI AT 2525;169490;0;0;0;0;0;0;0;0;0;0;202507
GM;Tracker;RS 1.2 TGDI AT;CHEV/TRACKER 12T A RS;2525;GM Tracker RS 1.2 TGDI AT 2525;188590;0;0;0;0;0;0;0;0;0;0;202507
GM;Tracker;Premier 1.2 TGDI AT;"I/CHEV TRACKER 12T A PR;CHEV/TRACKER 12T A PR";2525;GM Tracker Premier 1.2 TGDI AT 2525;189590;0;0;0;0;0;0;0;0;0;0;202507
BYD;Song Plus;GS 1.5 PHEV DHT;I/BYD SONG PLUS GS DM;2526;BYD Song Plus GS 1.5 PHEV DHT 2526;249990;0;5000;0;0;1;5000;0;0;0;0;202507
Nissan;Kicks;Sense 1.0 TGDI DCT;NISSAN/KICKS SENSE AT;2526;Nissan Kicks Sense 1.0 TGDI DCT 2526;164990;0;0;0;0;0;0;0;0;0;0;202507
Nissan;Kicks;Advance 1.0 TGDI DCT;NISSAN/KICKS ADVANCE AT;2526;Nissan Kicks Advance 1.0 TGDI DCT 2526;175990;0;0;0;0;0;0;0;0;0;0;202507
Nissan;Kicks;Exclusive 1.0 TGDI DCT;NISSAN/KICKS EXCLUSIV AT;2526;Nissan Kicks Exclusive 1.0 TGDI DCT 2526;182490;0;0;0;0;0;0;0;0;0;0;202507
Nissan;Kicks;Platinum 1.0 TGDI DCT;NISSAN/KICKS PLATINUM AT;2526;Nissan Kicks Platinum 1.0 TGDI DCT 2526;199000;0;0;0;0;0;0;0;0;0;0;202507
Geely;EX5;Pro EV;I/GEELY EX5 PRO;2526;Geely EX5 Pro EV 2526;205800;10000;0;0,006024;10900;0;0;4000;0;0;Free wallbox or 1 year free charging;202507
Geely;EX5;Max EV;I/GEELY EX5 MAX;2526;Geely EX5 Max EV 2526;225800;10000;0;0,006024;12000;0;0;4000;0;0;Free wallbox or 1 year free charging;202507
VW;Nivus;Sense 1.0 TGDI AT;VW/NIVUS SENSE TSI;2526;VW Nivus Sense 1.0 TGDI AT 2526;119990;0;0;0;;0;0;0;0;0;0;202507
VW;Nivus;Comfortline 1.0 TGDI AT;VW/NIVUS CL TSI;2526;VW Nivus Comfortline 1.0 TGDI AT 2526;146290;0;0;0;;0;0;0;0;0;0;202507
VW;Nivus;Highline 1.0 TGDI AT;VW/NIVUS HL TSI;2526;VW Nivus Highline 1.0 TGDI AT 2526;163290;0;0;0;;0;0;0;0;0;0;202507
VW;Nivus;GTS 1.4 TGDI AT;VW/NIVUS GTS;2526;VW Nivus GTS 1.4 TGDI AT 2526;179990;0;0;0;;0;0;0;0;0;0;202507
VW;Tera;1.0 MPI MT;VW/TERA MPI;2526;VW Tera 1.0 MPI MT 2526;103990;0;0;0;;0;0;0;0;0;0;202507
VW;Tera;1.0 TGDI MT;VW/TERA TSI;2526;VW Tera 1.0 TGDI MT 2526;116990;0;0;0;;0;0;0;0;0;0;202507
VW;Tera;Comfort 1.0 TGDI AT;VW/TERA COMFORT TSI;2526;VW Tera Comfort 1.0 TGDI AT 2526;126990;0;0;0;;0;0;0;0;0;0;202507
VW;Tera;High 1.0 TGDI AT;VW/TERA HIGH TSI;2526;VW Tera High 1.0 TGDI AT 2526;139990;0;0;0;;0;0;0;0;0;0;202507
VW;Tiguan;Allspace R-Line 2.0 TGDI AT;I/VW TIGUAN ALLSPACE RL;2525;VW Tiguan Allspace R-Line 2.0 TGDI AT 2525;305990;0;0;0;;0;0;0;0;0;0;202507
Jeep;Renegade;Sport 1.3 TGDI AT;JEEP/RENEGADE SPT T FLEX;2526;Jeep Renegade Sport 1.3 TGDI AT 2526;118290;2000;0;0;;0;0;0;0;0;0;202507
Jeep;Renegade;Altitude 1.3 TGDI AT;JEEP/RENEGADE ALTIT T270;2526;Jeep Renegade Altitude 1.3 TGDI AT 2526;142990;0;8000;0;;0;0;0;0;0;0;202507
Jeep;Renegade;Longitude 1.3 TGDI AT;JEEP/RENEGADE LGTD T270;2526;Jeep Renegade Longitude 1.3 TGDI AT 2526;159990;0;9000;0,006024;;0;0;0;0;0;0;202507
Jeep;Renegade;Sahara 1.3 TGDI AT;JEEP/RENEGADE SAHARA;2526;Jeep Renegade Sahara 1.3 TGDI AT 2526;169990;0;5000;0,006024;;0;0;0;0;0;0;202507
Jeep;Renegade;Trailhawk 1.3 TGDI AT 4x4;JEEP/RENEGADE TRAIL 4X4;2526;Jeep Renegade Trailhawk 1.3 TGDI AT 4x4 2526;179990;0;0;0,006024;;0;0;0;0;0;0;202507
Jeep;Renegade;Willys 1.3 TGDI AT 4x4;JEEP/RENEGADE WILLYS 4X4;2526;Jeep Renegade Willys 1.3 TGDI AT 4x4 2526;182990;0;0;0,006024;;0;0;0;0;0;0;202507
Jeep;Commander;Longitude 1.3 TGDI AT;JEEP/COMMANDER LONG T;2525;Jeep Commander Longitude 1.3 TGDI AT 2525;231490;26000;0;0;;0;0;0;0;0;0;202507
Jeep;Commander;Limited 1.3 TGDI AT;"JEEP/COMMANDER LIM T;JEEP/COMMANDER LIM 7 270";2525;Jeep Commander Limited 1.3 TGDI AT 2525;257990;0;19000;0,00603;;0;0;0;0;0;0;202507
Jeep;Commander;Overland 1.3 TGDI AT;"JEEP/COMMANDER OVR T;JEEP/COMMANDER OVE 7 270";2525;Jeep Commander Overland 1.3 TGDI AT 2525;280990;0;19000;0,00603;;0;0;0;0;0;0;202507
Jeep;Commander;Overland 2.2 TD AT 4x4;JEEP/COMMANDER OVE 2.2 D;2525;Jeep Commander Overland 2.2 TD AT 2525;314490;0;19000;0,00603;;0;0;0;0;0;0;202507
Jeep;Commander;Overland Hurricane 2.0 TGDI AT 4x4;JEEP/COMMANDER OVR T 2.0;2525;Jeep Commander Overland Hurricane 2.2 TD AT 4x4 2525;323990;5000;22000;0,00603;;0;0;0;0;0;0;202507
Jeep;Commander;Blackhawk Hurricane 2.0 TGDI AT 4x4;JEEP/COMMANDER BLACKHAWK;2525;Jeep Commander Blackhawk Hurricane 2.2 TD AT 4x4 2525;340990;0;22000;0,00603;;0;0;0;0;0;0;202507
BYD;Song Plus;GS 1.5 PHEV DHT;I/BYD SONG PLUS GS DM;2526;BYD Song Plus GS 1.5 PHEV DHT 2526;249990;0;5000;0;;1;5000;0;0;0;0;202508
BYD;Song Plus;Premium 1.5 TGDI PHEV DHT;I/BYD SONG PLUS PREM DM;2526;BYD Song Plus Premium 1.5 TGDI PHEV DHT 2526;299800;0;7000;0;;1;7000;0;0;0;0;202508
BYD;Song Pro;GL 1.5 PHEV DHT;I/BYD SONG PRO GL DM;2526;BYD Song Pro GL 1.5 PHEV DHT 2526;189990;0;0;0;;0;0;0;0;0;0;202508
GAC;Aion V;Elite EV;I/GAC AION V ELITE;2526;GAC Aion V Elite EV 2526;219990;0;0;0;;0;0;0;0;0;0;202508
GAC;GS4;Premium 2.0 HEV CVT;I/GAC GS4 PREMIUM;2526;GAC GS4 Premium 2.0 HEV CVT 2526;189990;0;10000;0;;0;0;0;0;10000;0;202508
GAC;GS4;Elite 2.0 HEV CVT;I/GAC GS4 ELITE;2526;GAC GS4 Elite 2.0 HEV CVT 2526;199990;0;0;0;;0;0;0;0;0;0;202508
GM;Tracker;1.0 TGDI AT;CHEV/TRACKER T A;2526;GM Tracker 1.0 TGDI AT 2526;119900;0;0;0;;0;0;0;0;0;0;202508
GM;Tracker;LT 1.0 TGDI AT;"I/CHEV TRACKER T A LT;CHEV/TRACKER T A LT";2526;GM Tracker LT 1.0 TGDI AT 2526;154090;0;0;0;;0;0;0;0;0;0;202508
GM;Tracker;LTZ 1.0 TGDI AT;CHEV/TRACKER T A LTZ;2526;GM Tracker LTZ 1.0 TGDI AT 2526;169490;0;0;0;;0;0;0;0;0;0;202508
GM;Tracker;Premier 1.2 TGDI AT;"I/CHEV TRACKER 12T A PR;CHEV/TRACKER 12T A PR";2526;GM Tracker Premier 1.2 TGDI AT 2526;189590;0;0;0;;0;0;0;0;0;0;202508
GM;Tracker;RS 1.2 TGDI AT;CHEV/TRACKER 12T A RS;2526;GM Tracker RS 1.2 TGDI AT 2526;190590;0;0;0;;0;0;0;0;0;0;202508
Honda;HR-V;EX 1.5 CVT;"HONDA/HR-V EX;HONDA/HR-V EX HS";2526;Honda HR-V EX 1.5 CVT 2526;163200;0;0;0;;0;0;0;0;0;0;202508
Honda;HR-V;EXL 1.5 CVT;"HONDA/HR-V EXL;HONDA/HR-V EXL HS";2526;Honda HR-V EXL 1.5 CVT 2526;170900;0;0;0;;0;0;0;0;0;0;202508
Honda;HR-V;Advance 1.5 TGDI CVT;HONDA/HR-V ADVANCE;2526;Honda HR-V Advance 1.5 TGDI CVT 2526;199400;0;0;0;;0;0;0;0;0;0;202508
Honda;HR-V;Touring  1.5 TGDI CVT;HONDA/HR-V TOURING;2526;Honda HR-V Touring  1.5 TGDI CVT 2526;209900;0;0;0;;0;0;0;0;0;0;202508
Hyundai;Creta;Comfort 1.0 TGDI AT;HYUNDAI/CRETA1TF COMFORT;2526;Hyundai Creta Comfort 1.0 TGDI AT 2526;151290;10000;0;0,006018;6000;0;0;0;7400;7400;0;202508
Hyundai;Creta;Limited 1.0 TGDI AT;HYUNDAI/CRETA1TF LIMITED;2526;Hyundai Creta Limited 1.0 TGDI AT 2526;167290;13500;0;0,006018;6700;0;0;0;5500;20200;0;202508
Hyundai;Creta;Platinum 1.0 TGDI AT;HYUNDAI/CRETA1TF PLATINU;2526;Hyundai Creta Platinum 1.0 TGDI AT 2526;182890;8000;0;0,006018;7300;0;0;0;5000;5000;0;202508
Hyundai;Creta;Ultimate 1.6 TGDI DCT;HYUNDAI/CRETA16G ULTIMTE;2526;Hyundai Creta Ultimate 1.6 TGDI DCT 2526;199590;6000;0;0,006018;7900;0;0;0;5000;5000;0;202508
