brand;model;version;registration_base_description;my_code;control;msrp;retail_bonus;trade_in_bonus;subsidized_rate_monthly;down_payment_percent;installments;rate_cost;insurance_years;ipva_value;others_bonus;dealer_rebate;total_customer_benefit;comment;offer_month_code
Jaecoo;5;Prestige 1.5 TGDI HEV DHT;;25/26;Jaecoo 5 Prestige 1.5 TGDI HEV DHT 2526;R$175.990;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202510
Jaecoo;5;Luxury 1.5 TGDI HEV DHT;;25/26;Jaecoo 5 Luxury 1.5 TGDI HEV DHT 2526;R$151.990;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202510
Jaecoo;8;Legend 1.5 TGDI PHEV DHT;;25/26;Jaecoo 8 Legend 1.5 TGDI PHEV DHT 2526;R$300.000;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202510
Jaecoo;7;Prestige 1.5 TGDI PHEV DHT;I/JAECOO 7 PRESTIGE;25/26;Jaecoo 7 Prestige 1.5 TGDI PHEV DHT 2526;R$249.990;R$0;R$15.500;0,00;60;24;R$13.300;0Y;R$0;R$0;R$6.000;R$15.500;0;202510
Leapmotor;C10;EV;I/LPM C10 DESIGN;25/26;Leapmotor C10 EV 2526;R$189.990;R$0;R$0;0,00;80;12;R$2.200;0Y;R$0;R$4.000;R$0;R$2.200;0;202511
Leapmotor;C10;REEV;I/LPM C10 REEV E27;25/26;Leapmotor C10 REEV 2526;R$199.990;R$0;R$0;0,00;80;12;R$2.300;0Y;R$0;R$0;R$0;R$2.300;0;202511
Leapmotor;B10;EV;;25/26;Leapmotor B10 EV 2526;R$172.990;R$0;R$0;0,00;80;12;R$2.000;0Y;R$0;R$5.300;R$0;R$2.000;0;202511
Omoda;C5;Prestige 1.5 TGDI HEV DHT;I/OMODA 5 HEV PRESTIGE;25/26;Omoda C5 Prestige 1.5 TGDI HEV DHT 2526;R$184.990;R$0;R$8.000;0,79;50;36;R$9.000;0Y;R$0;R$0;R$2.000;R$8.000;0;202511
Omoda;C7;Luxury 1.5 TGDI PHEV DHT;I/OMODA 7 PHEV LUXURY;25/26;Omoda C7 Luxury 1.5 TGDI PHEV DHT 2526;R$254.990;R$0;R$0;0,00;00;00;;1Y;R$0;R$4.000;R$0;R$7.650;0;202511
Omoda;C7;Prestige 1.5 TGDI PHEV DHT;I/OMODA 7 PHEV PRESTIGE;25/26;Omoda C7 Prestige 1.5 TGDI PHEV DHT 2526;R$279.990;R$0;R$0;0,00;00;00;;1Y;R$0;R$4.000;R$0;R$8.400;0;202511
Omoda;E5;EV;I/OMODA E5;25/26;Omoda E5 EV 2526;R$209.990;R$0;R$10.000;0,00;60;24;R$11.100;0Y;R$0;R$0;R$6.000;R$21.100;0;202511
Jaecoo;7;Luxury 1.5 TGDI PHEV DHT;I/JAECOO 7 LUXURY;25/26;Jaecoo 7 Luxury 1.5 TGDI PHEV DHT 2526;R$229.990;R$5.000;R$25.000;0,00;60;24;R$12.200;0Y;R$0;R$0;R$6.000;R$30.000;0;202511
Jaecoo;7;Prestige 1.5 TGDI PHEV DHT;I/JAECOO 7 PRESTIGE;25/26;Jaecoo 7 Prestige 1.5 TGDI PHEV DHT 2526;R$249.990;R$0;R$15.500;0,00;60;24;R$13.300;0Y;R$0;R$0;R$6.000;R$15.500;0;202511
GWM;Haval H9;Exclusive 2.4 TD AT;I/GWM HAVAL H9 EXC;25/26;GWM Haval H9 Exclusive 2.4 TD AT 2526;R$329.000;R$0;R$0;1,45;50;36;R$0;0Y;R$0;R$0;R$0;R$0;0;202511
Jeep;Compass;Serie S 1.3 TGDI AT;JEEP/COMPASS SERIE S T;25/26;Jeep Compass Serie S 1.3 TGDI AT 2526;R$225.390;R$2.000;R$8.000;0,00;60;30;R$14.900;0Y;R$0;R$0;R$0;R$24.900;0;202511
Jeep;Compass;Blackhawk 2.0 TGDI AT;JEEP/COMPASS BLACKHAWK;25/26;Jeep Compass Blackhawk 2.0 TGDI AT 2526;R$268.890;R$5.000;R$5.000;0,00;60;30;R$17.800;0Y;R$0;R$0;R$0;R$27.800;0;202511
VW;T-Cross;1.0 TGDI AT;VW/T CROSS TSI;25/26;VW T-Cross 1.0 TGDI AT 2526;R$157.490;R$5.136;R$0;0,00;80;12;R$1.800;0Y;R$0;R$0;R$2.000;R$6.936;0;202511
VW;T-Cross;Comfortline 1.0 TGDI AT;VW/T CROSS CL TSI;25/26;VW T-Cross Comfortline 1.0 TGDI AT 2526;R$177.490;R$7.000;R$10.000;0,00;60;24;R$9.400;0Y;R$0;R$0;R$0;R$26.400;0;202511
VW;T-Cross;Highline 1.4 TGDI AT;VW/T CROSS HL TSI;25/26;VW T-Cross Highline 1.4 TGDI AT 2526;R$191.490;R$10.000;R$7.000;0,00;60;30;R$12.700;0Y;R$0;R$0;R$2.000;R$29.700;0;202511
VW;T-Cross;Extreme 1.4 TGDI AT;VW/T CROSS EXTREME TSI;25/26;VW T-Cross Extreme 1.4 TGDI AT 2526;R$198.490;R$10.000;R$7.000;0,00;60;30;R$13.200;0Y;R$0;R$0;R$2.000;R$30.200;0;202511
VW;Nivus;Comfortline 1.0 TGDI AT;VW/NIVUS CL TSI;25/26;VW Nivus Comfortline 1.0 TGDI AT 2526;R$152.990;R$5.000;R$5.000;0,99;40;48;R$8.800;0Y;R$0;R$0;R$1.000;R$18.800;0;202511
VW;Nivus;Highline 1.0 TGDI AT;VW/NIVUS HL TSI;25/26;VW Nivus Highline 1.0 TGDI AT 2526;R$167.990;R$12.800;R$5.200;0,99;50;36;R$5.700;0Y;R$0;R$0;R$2.000;R$23.700;0;202511
VW;Nivus;GTS 1.4 TGDI AT;VW/NIVUS GTS;25/26;VW Nivus GTS 1.4 TGDI AT 2526;R$184.990;R$0;R$0;0,00;70;18;R$5.100;0Y;R$0;R$0;R$0;R$5.100;0;202511
GWM;Ora 03;Skin EV;I/GWM ORA 03 SKIN BEV48;25/26;GWM Ora 03 Skin EV 2526;R$169.000;R$15.000;R$10.000;0,00;60;32;R$11.900;1Y;R$0;R$0;R$3.080;R$25.000;0;202511
GWM;Ora 03;GT EV;I/GWM ORA 03 GT BEV63;25/26;GWM Ora 03 GT EV 2526;R$199.000;R$10.000;R$10.000;0,00;60;24;R$10.500;1Y;R$0;R$0;R$3.780;R$20.000;0;202511
GWM;Haval H6;One 1.5 TGDI HEV DHT;I/GWM HAVAL H6 HEV;25/25;GWM Haval H6 One 1.5 TGDI HEV DHT 2525;R$199.000;R$0;R$15.000;0,00;60;24;R$10.500;1Y;R$0;R$0;R$5.000;R$25.500;0;202511
GWM;Haval H6;2 1.5 TGDI HEV DHT;"I/GWM HAVAL H6 PREM HEV;I/GWM HAVAL H6 HEV2";25/25;GWM Haval H6 2 1.5 TGDI HEV DHT 2525;R$220.000;R$0;R$15.000;0,00;60;24;R$11.700;1Y;R$0;R$0;R$5.000;R$26.700;0;202511
GWM;Haval H6;19 1.5 TGDI PHEV DHT;"I/GWM HAVAL H6 PHEV 19;I/GWM HAVAL H6 PHEV19";25/25;GWM Haval H6 19 1.5 TGDI PHEV DHT 2525;R$245.000;R$0;R$20.000;0,00;60;36;R$19.500;1Y;R$0;R$0;R$5.000;R$39.500;0;202511
GWM;Haval H6;34 1.5 TGDI PHEV DHT;I/GWM HAVAL H6 PREM PHEV;25/25;GWM Haval H6 34 1.5 TGDI PHEV DHT 2525;R$288.000;R$0;R$25.000;0,00;60;36;R$22.900;1Y;R$0;R$0;R$10.000;R$47.900;0;202511
GWM;Haval H6;GT 1.5 TGDI PHEV DHT;I/GWM HAVAL H6 GT;25/25;GWM Haval H6 GT 1.5 TGDI PHEV DHT 2525;R$325.000;R$0;R$30.000;0,00;60;36;R$25.800;1Y;R$0;R$0;R$10.000;R$55.800;0;202511
Jeep;Commander;Longitude 1.3 TGDI AT;JEEP/COMMANDER LONG T;25/26;Jeep Commander Longitude 1.3 TGDI AT 2526;R$224.290;R$0;R$2.500;0,00;00;00;;0Y;R$0;R$0;R$0;R$2.500;0;202511
Jeep;Commander;Limited 1.3 TGDI AT;"JEEP/COMMANDER LIM T;JEEP/COMMANDER LIM 7 270";25/26;Jeep Commander Limited 1.3 TGDI AT 2526;R$250.690;R$10.000;R$14.500;0,00;00;00;;0Y;R$0;R$0;R$0;R$24.500;0;202511
Jeep;Commander;Overland 1.3 TGDI AT;"JEEP/COMMANDER OVR T;JEEP/COMMANDER OVE 7 270";25/26;Jeep Commander Overland 1.3 TGDI AT 2526;R$278.190;R$10.000;R$16.500;0,00;00;00;;0Y;R$0;R$0;R$0;R$26.500;0;202511
Jeep;Commander;Overland 2.2 TD AT 4x4;JEEP/COMMANDER OVR TD;25/26;Jeep Commander Overland 2.2 TD AT 4x4 2526;R$313.190;R$0;R$18.500;0,00;00;00;;0Y;R$0;R$0;R$0;R$18.500;0;202511
Jeep;Commander;Overland Hurricane 2.0 TGDI AT 4x4;JEEP/COMMANDER OVR T 2.0;25/26;Jeep Commander Overland Hurricane 2.0 TGDI AT 4x4 2526;R$329.890;R$0;R$19.500;0,00;00;00;;0Y;R$0;R$0;R$0;R$19.500;0;202511
Jeep;Compass;Sport 1.3 TGDI AT;JEEP/COMPASS SPORT T;25/26;Jeep Compass Sport 1.3 TGDI AT 2526;R$171.490;R$7.500;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$7.500;0;202511
Jeep;Compass;Longitude 1.3 TGDI AT;JEEP/COMPASS LONG T;25/26;Jeep Compass Longitude 1.3 TGDI AT 2526;R$195.890;R$3.000;R$11.000;0,00;50;30;R$17.400;0Y;R$0;R$0;R$0;R$31.400;0;202511
Jeep;Renegade;Altitude 1.3 TGDI AT;JEEP/RENEGADE ALTIT T270;25/26;Jeep Renegade Altitude 1.3 TGDI AT 2526;R$145.190;R$0;R$8.000;0,00;00;00;;0Y;R$0;R$0;R$0;R$8.000;0;202511
Jeep;Renegade;Longitude 1.3 TGDI AT;JEEP/RENEGADE LGTD T270;25/26;Jeep Renegade Longitude 1.3 TGDI AT 2526;R$162.390;R$3.000;R$14.000;0,00;50;30;R$14.400;0Y;R$0;R$0;R$0;R$31.400;0;202511
Jeep;Renegade;Sahara 1.3 TGDI AT;JEEP/RENEGADE SAHARA;25/26;Jeep Renegade Sahara 1.3 TGDI AT 2526;R$172.590;R$3.000;R$8.000;0,00;60;30;R$11.400;0Y;R$0;R$0;R$0;R$22.400;0;202511
Jeep;Renegade;Willys 1.3 TGDI AT 4x4;JEEP/RENEGADE WILLYS 4X4;25/26;Jeep Renegade Willys 1.3 TGDI AT 4x4 2526;R$185.790;R$0;R$8.000;0,00;60;30;R$12.300;0Y;R$0;R$0;R$0;R$20.300;0;202511
BYD;Dolphin;GS EV;I/BYD DOLPHIN GS 180EV;25/26;BYD Dolphin GS EV 2526;R$149.990;R$0;R$8.000;0,00;60;24;R$8.000;0Y;R$0;R$0;R$0;R$8.000;0;202511
BYD;Dolphin;Plus EV;I/BYD DOLPHIN PLUS 310EV;25/25;BYD Dolphin Plus EV 2525;R$184.800;R$0;R$5.000;0,00;60;24;R$9.800;0Y;R$0;R$0;R$0;R$14.800;0;202511
BYD;Song Plus;GS 1.5 PHEV DHT;I/BYD SONG PLUS GS DM;25/26;BYD Song Plus GS 1.5 PHEV DHT 2526;R$249.990;R$0;R$10.000;0,00;60;36;R$19.900;0Y;R$0;R$0;R$0;R$29.900;0;202511
BYD;Song Plus;Premium 1.5 TGDI PHEV DHT;I/BYD SONG PLUS PREM DM;25/26;BYD Song Plus Premium 1.5 TGDI PHEV DHT 2526;R$299.800;R$0;R$20.000;0,00;60;36;R$23.800;0Y;R$0;R$0;R$0;R$43.800;0;202511
BYD;Song Pro;GS 1.5 PHEV DHT;I/BYD SONG PRO GS DM;25/26;BYD Song Pro GS 1.5 PHEV DHT 2526;R$199.990;R$0;R$0;0,00;60;36;R$15.900;0Y;R$0;R$0;R$0;R$15.900;0;202511
BYD;Yuan Plus;GL EV;I/BYD YUAN PLUS GL 310EV;25/26;BYD Yuan Plus GL EV 2526;R$235.990;R$0;R$15.000;0,00;60;36;R$18.800;0Y;R$0;R$0;R$0;R$33.800;0;202511
BYD;Yuan Pro;GS EV;I/BYD YUAN PRO GS 290EV;25/25;BYD Yuan Pro GS EV 2525;R$182.990;R$0;R$10.000;0,00;60;24;R$9.700;0Y;R$0;R$0;R$0;R$19.700;0;202511
Omoda;C5;Luxury 1.5 TGDI HEV DHT;I/OMODA 5 HEV LUXURY;25/26;Omoda C5 Luxury 1.5 TGDI HEV DHT 2526;R$159.990;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202511
Hyundai;Creta;Comfort 1.0 TGDI AT;HYUNDAI/CRETA1TF COMFORT;25/26;Hyundai Creta Comfort 1.0 TGDI AT 2526;R$151.290;R$13.300;R$0;0,00;60;18;R$6.000;0Y;R$0;R$0;R$3.300;R$19.300;0;202511
Hyundai;Creta;Limited 1.0 TGDI AT;HYUNDAI/CRETA1TF LIMITED;25/26;Hyundai Creta Limited 1.0 TGDI AT 2526;R$167.290;R$15.000;R$0;0,00;60;18;R$6.700;0Y;R$0;R$0;R$5.000;R$26.700;0;202511
Hyundai;Creta;N Line 1.0 TGDI AT;HYUNDAI/CRETA1TF NLINE;25/26;Hyundai Creta N Line 1.0 TGDI AT 2526;R$189.890;R$10.000;R$0;0,00;60;18;R$7.500;0Y;R$0;R$0;R$0;R$17.500;0;202511
Hyundai;Creta;Platinum 1.0 TGDI AT;HYUNDAI/CRETA1TF PLATINU;25/26;Hyundai Creta Platinum 1.0 TGDI AT 2526;R$182.890;R$6.000;R$0;0,00;60;18;R$7.300;0Y;R$0;R$0;R$0;R$13.300;0;202511
Hyundai;Creta;Ultimate 1.6 TGDI DCT;HYUNDAI/CRETA16G ULTIMTE;25/26;Hyundai Creta Ultimate 1.6 TGDI DCT 2526;R$199.590;R$6.000;R$0;0,00;60;18;R$7.900;0Y;R$0;R$0;R$0;R$13.900;0;202511
Nissan;Kicks;Sense 1.0 TGDI DCT;NISSAN/KICKS SENSE AT;25/26;Nissan Kicks Sense 1.0 TGDI DCT 2526;R$166.990;R$0;R$20.000;0,00;60;18;R$6.600;0Y;R$0;R$0;R$2.700;R$26.600;0;202511
Nissan;Kicks;Advance 1.0 TGDI DCT;NISSAN/KICKS ADVANCE AT;25/26;Nissan Kicks Advance 1.0 TGDI DCT 2526;R$177.990;R$0;R$20.000;0,00;60;18;R$7.100;0Y;R$0;R$0;R$2.700;R$27.100;0;202511
Nissan;Kicks;Exclusive 1.0 TGDI DCT;NISSAN/KICKS EXCLUSIV AT;25/26;Nissan Kicks Exclusive 1.0 TGDI DCT 2526;R$184.790;R$0;R$15.000;0,00;60;18;R$7.300;0Y;R$0;R$0;R$1.500;R$22.300;0;202511
Nissan;Kicks;Platinum 1.0 TGDI DCT;NISSAN/KICKS PLATINUM AT;25/26;Nissan Kicks Platinum 1.0 TGDI DCT 2526;R$199.000;R$0;R$15.000;0,00;60;18;R$7.900;0Y;R$0;R$0;R$1.500;R$22.900;0;202511
GAC;Aion V;Elite EV;I/GAC AION V ELITE;25/26;GAC Aion V Elite EV 2526;R$219.990;R$0;R$8.000;0,00;60;24;R$11.700;0Y;R$0;R$0;R$3.000;R$19.700;0;202511
GAC;GS4;Premium 2.0 HEV CVT;I/GAC GS4 PREMIUM;25/26;GAC GS4 Premium 2.0 HEV CVT 2526;R$191.990;R$0;R$15.000;0,00;60;24;R$10.200;0Y;R$0;R$0;R$3.000;R$25.200;0;202511
GAC;GS4;Elite 2.0 HEV CVT;I/GAC GS4 ELITE;25/26;GAC GS4 Elite 2.0 HEV CVT 2526;R$209.990;R$0;R$13.000;0,00;60;24;R$11.100;0Y;R$0;R$0;R$3.000;R$24.100;0;202511
MG;S5;Luxury;I/SAIC MGS5 EV 49KWH LUX;25/26;MG S5 Luxury 2526;R$238.800;R$19.000;R$0;0,00;60;24;R$12.700;0Y;R$0;R$0;R$0;R$31.700;0;202511
MG;MG4;X-Power;;25/26;MG MG4 X-Power 2526;R$229.800;R$5.000;R$0;0,00;60;24;R$12.200;0Y;R$0;R$0;R$0;R$17.200;0;202511
Jaecoo;5;Comfort 1.5 TGDI HEV DHT;;25/26;Jaecoo 5 Comfort 1.5 TGDI HEV DHT 2526;R$149.990;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202511
Jaecoo;5;Luxury 1.5 TGDI HEV DHT;;25/26;Jaecoo 5 Luxury 1.5 TGDI HEV DHT 2526;R$164.990;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202511
Jaecoo;5;Prestige 1.5 TGDI HEV DHT;;25/26;Jaecoo 5 Prestige 1.5 TGDI HEV DHT 2526;R$179.990;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202511
Toyota;Yaris Cross;XRX 1.5 CVT;TOYOTA/YCROSS XRX FLEX;25/26;Toyota Yaris Cross XRX 1.5 CVT 2526;R$178.990;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202511
Toyota;Yaris Cross;XRE 1.5 CVT;TOYOTA/YCROSS XRE FLEX;25/26;Toyota Yaris Cross XRE 1.5 CVT 2526;R$161.390;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202511
Toyota;Yaris Cross;XRE 1.5 HEV CVT;TOYOTA/YCROSS XRE-HYBRID;25/26;Toyota Yaris Cross XRE 1.5 HEV CVT 2526;R$172.390;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202511
Toyota;Yaris Cross;XRX 1.5 HEV CVT;TOYOTA/YCROSS XRX-HYBRID;25/26;Toyota Yaris Cross XRX 1.5 HEV CVT 2526;R$189.990;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202511
Geely;EX2;Pro;I/GEELY EX2 PRO;25/26;Geely EX2 Pro 2526;R$119.990;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202511
Geely;EX2;Max;I/GEELY EX2 MAX;25/26;Geely EX2 Max 2526;R$135.100;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202511
BYD;Dolphin;Mini GL EV;;25/26;BYD Dolphin Mini GL EV 2526;R$118.990;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202511
GWM;Haval H6;2 1.5 TGDI HEV DHT;"I/GWM HAVAL H6 PREM HEV;I/GWM HAVAL H6 HEV2";25/26;GWM Haval H6 2 1.5 TGDI HEV DHT 2526;R$223.000;R$0;R$10.000;0,00;60;18;R$8.900;0Y;R$0;R$0;R$5.000;R$10.000;0;202512
GWM;Haval H6;19 1.5 TGDI PHEV DHT;"I/GWM HAVAL H6 PHEV 19;I/GWM HAVAL H6 PHEV19";25/26;GWM Haval H6 19 1.5 TGDI PHEV DHT 2526;R$248.000;R$0;R$10.000;0,00;60;18;R$9.900;0Y;R$0;R$0;R$5.000;R$10.000;0;202512
GWM;Haval H6;35 1.5 TGDI PHEV DHT;"I/GWM HAVAL H6 PHEV35;I/GWM HAVAL H6 PHEV";25/26;GWM Haval H6 35 1.5 TGDI PHEV DHT 2526;R$288.000;R$0;R$10.000;0,00;60;18;R$11.400;0Y;R$0;R$0;R$5.000;R$10.000;0;202512
GWM;Haval H6;GT 1.5 TGDI PHEV DHT;I/GWM HAVAL H6 GT;25/26;GWM Haval H6 GT 1.5 TGDI PHEV DHT 2526;R$325.000;R$0;R$10.000;0,00;60;18;R$12.900;0Y;R$0;R$0;R$5.000;R$10.000;0;202512
Renault;Boreal;Evolution 1.3 TGDI DCT;RENAULT/BOREAL EVO;25/26;Renault Boreal Evolution 1.3 TGDI DCT 2526;R$179.990;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202512
Renault;Boreal;Techno 1.3 TGDI DCT;RENAULT/BOREAL TECH;25/26;Renault Boreal Techno 1.3 TGDI DCT 2526;R$199.990;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202512
Renault;Boreal;Iconic 1.3 TGDI DCT;RENAULT/BOREAL ICO;25/26;Renault Boreal Iconic 1.3 TGDI DCT 2526;R$214.990;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202512
Jaecoo;7;Luxury 1.5 TGDI PHEV DHT;I/JAECOO 7 LUXURY;25/26;Jaecoo 7 Luxury 1.5 TGDI PHEV DHT 2526;R$234.990;R$5.000;R$25.000;0,00;60;24;R$12.500;0Y;R$0;R$0;R$6.000;R$30.000;0;202512
Jaecoo;7;Prestige 1.5 TGDI PHEV DHT;I/JAECOO 7 PRESTIGE;25/26;Jaecoo 7 Prestige 1.5 TGDI PHEV DHT 2526;R$256.990;R$0;R$15.500;0,00;60;24;R$13.600;0Y;R$0;R$0;R$6.000;R$15.500;0;202512
VW;Tera;1.0 MPI MT;VW/TERA MPI;25/26;VW Tera 1.0 MPI MT 2526;R$105.890;R$0;R$6.000;0,00;80;12;R$1.200;0Y;R$0;R$0;R$1.500;R$7.200;0;202512
VW;Tera;Comfort 1.0 TGDI AT;VW/TERA COMFORT TSI;25/26;VW Tera Comfort 1.0 TGDI AT 2526;R$128.890;R$0;R$8.300;0,00;60;18;R$5.100;0Y;R$0;R$0;R$1.300;R$13.400;0;202512
VW;Tera;High 1.0 TGDI AT;VW/TERA HIGH TSI;25/26;VW Tera High 1.0 TGDI AT 2526;R$141.890;R$0;R$10.000;0,00;60;18;R$5.600;0Y;R$0;R$0;R$2.000;R$15.600;0;202512
VW;Nivus;Comfortline 1.0 TGDI AT;VW/NIVUS CL TSI;25/26;VW Nivus Comfortline 1.0 TGDI AT 2526;R$152.990;R$5.000;R$8.000;0,99;40;48;R$8.800;0Y;R$0;R$0;R$1.000;R$21.800;0;202512
VW;Nivus;Highline 1.0 TGDI AT;VW/NIVUS HL TSI;25/26;VW Nivus Highline 1.0 TGDI AT 2526;R$167.990;R$14.800;R$7.200;0,99;50;36;R$5.700;0Y;R$0;R$0;R$2.000;R$27.700;0;202512
VW;T-Cross;1.0 TGDI AT;VW/T CROSS TSI;25/26;VW T-Cross 1.0 TGDI AT 2526;R$157.490;R$12.136;R$0;0,00;80;12;R$1.800;0Y;R$0;R$0;R$2.000;R$13.936;0;202512
VW;T-Cross;Comfortline 1.0 TGDI AT;VW/T CROSS CL TSI;25/26;VW T-Cross Comfortline 1.0 TGDI AT 2526;R$177.490;R$13.000;R$12.500;0,00;60;24;R$9.400;0Y;R$0;R$0;R$2.500;R$34.900;0;202512
VW;T-Cross;Highline 1.4 TGDI AT;VW/T CROSS HL TSI;25/26;VW T-Cross Highline 1.4 TGDI AT 2526;R$191.490;R$10.000;R$12.000;0,00;60;30;R$12.700;0Y;R$0;R$0;R$2.000;R$34.700;0;202512
VW;T-Cross;Extreme 1.4 TGDI AT;VW/T CROSS EXTREME TSI;25/26;VW T-Cross Extreme 1.4 TGDI AT 2526;R$198.490;R$10.000;R$12.000;0,00;60;30;R$13.200;0Y;R$0;R$0;R$2.000;R$35.200;0;202512
VW;T-Cross;Sense 1.0 TGDI AT;VW/T CROSS SENSE TSI;25/26;VW T-Cross Sense 1.0 TGDI AT 2526;R$119.990;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202512
VW;Taos;Comfortline 1.4 TGDI AT;I/VW TAOS CL TSI;25/25;VW Taos Comfortline 1.4 TGDI AT 2525;R$206.990;R$16.000;R$0;0,00;60;24;R$11.000;0Y;R$0;R$0;R$6.500;R$27.000;0;202512
VW;Taos;Highline 1.4 TGDI AT;I/VW TAOS HL TSI;25/25;VW Taos Highline 1.4 TGDI AT 2525;R$231.990;R$26.000;R$0;0,00;60;24;R$12.300;0Y;R$0;R$0;R$0;R$38.300;0;202512
VW;Tiguan;Allspace R-Line 2.0 TGDI AT;I/VW TIGUAN ALLSPACE RL;25/25;VW Tiguan Allspace R-Line 2.0 TGDI AT 2525;R$305.990;R$40.000;R$11.000;0,49;60;24;R$10.700;0Y;R$0;R$0;R$5.000;R$61.700;0;202512
Geely;EX2;Pro;I/GEELY EX2 PRO;25/26;Geely EX2 Pro 2526;R$119.990;R$0;R$0;0,00;60;24;R$6.400;0Y;R$0;R$0;R$0;R$6.400;0;202512
Geely;EX2;Max;I/GEELY EX2 MAX;25/26;Geely EX2 Max 2526;R$135.100;R$0;R$0;0,00;60;24;R$7.200;0Y;R$0;R$4.000;R$0;R$7.200;0;202512
Geely;EX5;Pro EV;I/GEELY EX5 PRO;25/26;Geely EX5 Pro EV 2526;R$205.800;R$25.000;R$0;0,00;60;24;R$10.900;0Y;R$0;R$4.000;R$0;R$29.000;0;202512
Geely;EX5;Max EV;I/GEELY EX5 MAX;25/26;Geely EX5 Max EV 2526;R$225.800;R$10.000;R$0;0,00;60;18;R$9.000;0Y;R$0;R$4.000;R$0;R$14.000;0;202512
BYD;Dolphin;GS EV;I/BYD DOLPHIN GS 180EV;25/26;BYD Dolphin GS EV 2526;R$149.990;R$0;R$8.000;0,00;60;24;R$8.000;0Y;R$0;R$0;R$0;R$8.000;0;202512
BYD;Yuan Pro;GS EV;I/BYD YUAN PRO GS 290EV;25/26;BYD Yuan Pro GS EV 2526;R$182.990;R$0;R$10.000;0,00;60;24;R$9.700;0Y;R$0;R$0;R$0;R$19.700;0;202512
BYD;Song Pro;GL 1.5 PHEV DHT;"I/BYD SONG PRO GL DM;BYD/SONG PRO GL DM";25/26;BYD Song Pro GL 1.5 PHEV DHT 2526;R$189.990;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202512
Omoda;C5;Prestige 1.5 TGDI HEV DHT;I/OMODA 5 HEV PRESTIGE;25/26;Omoda C5 Prestige 1.5 TGDI HEV DHT 2526;R$184.990;R$0;R$8.000;0,85;50;36;R$8.100;0Y;R$0;R$0;R$2.000;R$8.000;0;202512
Omoda;C7;Luxury 1.5 TGDI PHEV DHT;I/OMODA 7 PHEV LUXURY;25/26;Omoda C7 Luxury 1.5 TGDI PHEV DHT 2526;R$254.990;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202512
Omoda;C7;Prestige 1.5 TGDI PHEV DHT;I/OMODA 7 PHEV PRESTIGE;25/26;Omoda C7 Prestige 1.5 TGDI PHEV DHT 2526;R$279.990;R$0;R$15.000;0,00;60;24;R$14.800;0Y;R$0;R$0;R$5.000;R$15.000;0;202512
Omoda;E5;EV;I/OMODA E5;25/26;Omoda E5 EV 2526;R$209.990;R$0;R$10.000;0,00;60;24;R$11.100;0Y;R$0;R$0;R$6.000;R$10.000;0;202512
Fiat;Pulse;Drive 1.3 MT;FIAT/PULSE DRIVE MT;25/26;Fiat Pulse Drive 1.3 MT 2526;R$101.990;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202512
Fiat;Pulse;Drive 1.3 AT;FIAT/PULSE DRIVE AT;25/26;Fiat Pulse Drive 1.3 AT 2526;R$113.990;R$0;R$2.000;0,00;00;00;;0Y;R$0;R$0;R$0;R$2.000;0;202512
Fiat;Pulse;1.0 TGDI AT;FIAT/PULSE TURBO 200;25/26;Fiat Pulse 1.0 TGDI AT 2526;R$117.990;R$0;R$0;0,00;60;12;R$3.100;0Y;R$0;R$0;R$0;R$3.100;0;202512
Fiat;Pulse;Audace 1.0 TGDI MHEV AT;FIAT/PULSE AUDACE HYB;25/26;Fiat Pulse Audace 1.0 TGDI MHEV AT 2526;R$134.490;R$0;R$9.000;0,00;70;18;R$3.700;0Y;R$0;R$0;R$0;R$12.700;0;202512
