SC_0001;SC_0002;SC_0003;SC_0004;SC_0005;SC_0006;DM_0001;DM_0002;DM_0003;DM_0004;DM_0005;DM_0006;DM_0007;DM_0008;DM_0009;DM_0010;DM_0011;PW_0001;PW_0002;PW_0003;PW_0004;PW_0005;PW_0006;PW_0007;PW_0008;PW_0009;PW_0010;PW_0011;PW_0012;PW_0014;PW_0015;PW_0016;PW_0017;PW_0018;PW_0019;PW_0020;PW_0021;PW_0022;PW_0023;PW_0025;PW_0026;PW_0028;PW_0029;PW_0030;PW_0031;PW_0032;PW_0033;PW_0035;PW_0036;PW_0037;PW_0038;PW_0039;PW_0040;PW_0041;PW_0042;PW_0043;PW_0044;OW_0001;OW_0002;OW_0003;OW_0004;OW_0005;OW_0006;OW_0007;OW_0008;OW_0009;OW_0010;EX_0001;EX_0002;EX_0003;EX_0004;EX_0005;EX_0006;EX_0007;EX_0008;EX_0009;EX_0010;EX_0011;EX_0012;EX_0013;EX_0014;EX_0015;EX_0016;EX_0017;EX_0018;EX_0019;EX_0020;EX_0021;EX_0022;EX_0023;EX_0024;EX_0025;EX_0026;EX_0027;EX_0028;EX_0029;EX_0030;EX_0031;EX_0032;EX_0033;EX_0034;EX_0035;EX_0036;EX_0037;EX_0038;EX_0039;EX_0040;EX_0041;EX_0042;EX_0043;IN_0001;IN_0002;IN_0003;IN_0004;IN_0005;IN_0006;IN_0007;IN_0008;IN_0009;IN_0062;IN_0063;IN_0010;IN_0011;IN_0012;IN_0013;IN_0014;IN_0015;IN_0016;IN_0017;IN_0064;IN_0018;IN_0019;IN_0020;IN_0021;IN_0022;IN_0023;IN_0024;IN_0025;IN_0026;IN_0027;IN_0028;IN_0029;IN_0030;IN_0031;IN_0065;IN_0032;IN_0033;IN_0034;IN_0035;IN_0036;IN_0037;IN_0038;IN_0039;IN_0040;IN_0041;IN_0042;IN_0043;IN_0044;IN_0045;IN_0046;IN_0047;IN_0048;IN_0060;IN_0061;IN_0049;IN_0050;IN_0051;IN_0052;IN_0053;IN_0054;IN_0055;IN_0056;IN_0057;IN_0058;CO_0001;CO_0002;CO_0003;CO_0004;CO_0005;CO_0006;CO_0007;CO_0008;CO_0009;CO_0010;CO_0011;CO_0053;CO_0054;CO_0012;CO_0013;CO_0014;CO_0015;CO_0016;CO_0017;CO_0018;CO_0019;CO_0020;CO_0021;CO_0022;CO_0023;CO_0024;CO_0025;CO_0026;CO_0027;CO_0028;CO_0029;CO_0030;CO_0031;CO_0032;CO_0033;CO_0034;CO_0035;CO_0036;CO_0037;CO_0038;CO_0039;CO_0040;CO_0041;CO_0042;CO_0043;CO_0044;CO_0045;CO_0046;CO_0047;CO_0048;CO_0049;CO_0050;CO_0051;CO_0052;SF_0001;SF_0002;SF_0003;SF_0004;SF_0005;SF_0006;SF_0007;SF_0008;SF_0009;SF_0010;SF_0011;SF_0012;SF_0013;SF_0014;SF_0015;SF_0016;SF_0017;SF_0018;SF_0019;SF_0020;SF_0021;SF_0022;SF_0023;SF_0024;SF_0025;SF_0026;SF_0027;SF_0028;SF_0029;SF_0030;SF_0031;SF_0032;SF_0033;SF_0034;SF_0035;SF_0036;SF_0037;SF_0038;SF_0039;SF_0040;SF_0041;SF_0042;SF_0043;SF_0044;SF_0045;AD_0001;AD_0002;AD_0003;AD_0004;AD_0005;AD_0006;AD_0007;AD_0008;AD_0009;AD_0010;AD_0011;AD_0012;AD_0013;AD_0014;AD_0015;AD_0016;AD_0017;AD_0018;AD_0019;AD_0020;AD_0021;AD_0022;AD_0023;EX_0044;CO_0055;IN_0059
BYD Song Plus GS 1.5 PHEV DHT 2526;BYD;Song Plus;GS 1.5 PHEV DHT;2025;2026;4775;1890;1670;2765;150;552;;1840;;410;;;;s;;1,5;;;4;S;;98;121,6;6000;4500;;;;S;1;S;197;299,8;;;18,3;6,6;;S;235;400;7,787234043;44,85294118;7,9;170;S;;;S;;S;0,58;15;11,3;;;57;63;1200;6;8;S;19;235;235/50 R19;;;;;S;S;S;S;S;;S;;;;S;;S;S;;S;S;S;S;S;;;;S;;;;;S;S;S;S;S;S;S;;;S;;S;S;S;S;S;;;;;;;S;;;;;;S;S;S;S;;S;S;S;;S;S;;;;;S;;S;;S;;S;S;;S;;S;;S;S;;;;S;;;S;;S;S;S;;;S;;;S;S;;S;S;S;2;2;;;1;1;;S;;12,3;S;15,6;;S;;S;S;S;S;6;4;1;;;S;S;;;S;;;S;S;S;;4;;4;S;S;S;;S;S;S;;S;;S;S;S;S;S;S;S;S;S;;;S;;S;S;S;S;S;S;S;S;S;S;S;;S;S;S;S;;;S;;S;S;S;;S;S;S;S;S;S;;S;S;;;S;;S;S;;;S;S;S;;S;S;;;S;S;;;;
BYD Song Plus Premium 1.5 TGDI PHEV DHT 2526;BYD;Song Plus;Premium 1.5 TGDI PHEV DHT;2025;2026;4775;1890;1670;2765;180;552;1477;2020;;;;;;s;;1,5;;S;4;S;;129;219,8;6000;4500;;;;S;1;S;204;299,8;163;300;26,6;6,6;18;S;324;550,1;6,234567901;36,00713012;5,2;180;;;S;S;;S;0,61;12,2;10,1;;;57;87;1200;6;8;S;19;235;235/50 R19;;;;;S;S;S;S;S;;S;;;;S;;S;S;;S;S;S;S;S;;;;S;;;;;S;S;S;S;S;S;S;;;S;;S;S;S;S;S;;;;;;;S;;;;;;S;S;S;S;;S;S;S;;S;S;;;;;S;;S;;S;;S;S;;S;;S;;S;S;;;;S;;;S;;S;S;S;;;S;;;S;S;;S;S;S;2;2;;;1;1;;S;;12,3;S;15,6;;S;;S;S;S;S;6;4;1;;;S;S;;;S;;;S;S;S;;4;;4;S;S;S;;S;S;S;;S;;S;S;S;S;S;S;S;S;S;;;S;;S;S;S;S;S;S;S;S;S;S;S;;S;S;S;S;;;S;;S;S;S;;S;S;S;S;S;S;;S;S;;S;S;;S;S;;;S;S;S;;S;S;;;S;S;;;;
BYD Song Pro GL 1.5 PHEV DHT 2525;BYD;Song Pro;GL 1.5 PHEV DHT;2025;2025;4738;1860;1710;2712;182;520;1339;1675;;410;;;;s;;1.5;;;4;S;;98;121,6;6000;4500;;;;S;1;S;197;299,8;;;12,9;6,6;;S;223;400;7,511210762;41,05392157;8,3;170;S;;;S;;S;0,59;14,8;12,6;;;52;49;;6;8;S;18;225;225/60 R18;;;;;S;S;S;;;;S;;;;S;;;S;;S;S;;S;S;;;;S;;;;;;S;S;;S;S;;;;S;;S;S;S;;;;;;;;;;;;;;;S;S;S;S;;S;;;;;;;;;;S;;S;;S;;S;;;S;;S;;S;S;;;;;;;S;;S;S;S;;;S;;;S;S;;S;S;S;1;2;1;;1;1;;;;8,8;;12,8;;S;;S;S;S;;4;2;;;;S;;;;S;;;;;S;;4;;4;S;S;S;;S;S;S;S;;;S;;S;;S;S;S;S;S;;;S;;S;S;S;S;S;S;S;;S;S;S;;S;S;S;S;;;S;;S;S;S;;;S;;S;S;S;;;;;;;;;;;;;;;;;;;;;;;;;
BYD Song Pro GS 1.5 PHEV DHT 2525;BYD;Song Pro;GS 1.5 PHEV DHT;2025;2025;4738;1860;1710;2712;182;520;1339;1735;;410;;;;s;;1.5;;;4;S;;98;121,6;6000;4500;;;;S;1;S;197;299,8;;;18,3;6,6;;S;235;421,7;7,382978723;40,34883721;7,9;170;S;;;S;;S;0,56;15,2;12,2;;;52;68;;6;8;S;18;225;225/60 R18;;;;;S;S;S;;;;S;;;;S;;;S;;S;S;;S;S;;;;S;;;;;;S;S;;S;S;;;;S;;S;S;S;S;;;;;;;;;;;;;;S;S;S;S;;S;;;;;;;;;;S;;S;;S;;S;;;S;;S;;S;S;;;;;;;S;;S;S;S;;;S;;;S;S;;S;S;S;1;2;1;;1;1;S;;;8,8;;12,8;;S;;S;S;S;;4;2;;;;S;;;;S;;;S;S;S;;4;;4;S;S;S;;S;S;S;S;;;S;;S;;S;S;S;S;S;;;S;;S;S;S;S;S;S;S;;S;S;S;;S;S;S;S;;;S;;S;S;S;;;S;;S;S;S;;;;;;;;;;;;;;;;;;;;;;;;;
Toyota Corolla Cross XRX 1.8 HEV CVT 2526;Toyota;Corolla Cross;XRX 1.8 HEV CVT;2025;2026;4460;1825;1620;2640;161;440;;1440;;;400;;S;;;1.8;;;4;S;;101;142,2;5200;3600;;;S;;;S;72;162,7;;;1,3;;;;122;142,2;11,80327869;99,31034483;13;170;S;;;S;;S;1,36;16,6;14;11,6;9,9;36;;;10;8;S;18;225;225/50 R18;S;;;;S;S;S;S;S;;S;;;S;S;;;S;;S;S;;S;S;;;;;;;;;;S;S;S;S;S;S;;;S;;S;S;S;S;;;;;;;;;;;;;;S;S;S;S;;S;;;;;;;;;;S;;S;;S;;S;S;S;;S;;S;;S;;;;S;;;;;S;S;S;;;S;;;S;;;S;S;S;;;2;1;1;1;S;;;12,3;;10;;;;S;;;;4;2;;;;S;S;;;S;;;;;S;;4;;4;S;;S;;S;;S;S;;;S;;S;;S;S;S;S;S;;;S;S;S;S;S;S;S;S;S;;S;S;S;;S;S;S;S;;;S;;S;S;S;;;;S;S;S;;;S;S;;S;S;;S;;;;S;S;S;;;S;;;;;S;;;
Toyota Corolla Cross XR 2.0 CVT 2526;Toyota;Corolla Cross;XR 2.0 CVT;2025;2026;4460;1825;1620;2640;161;440;;1420;;;700;;;;;2.0;;;4;S;;175;209;6600;4400;;;S;;;;;;;;;;;;175;209;8,114285714;66,66666667;9,8;195;S;;;S;;S;1,84;11,2;13;7,6;8,8;47;;;10;8;S;17;215;215/60 R17;S;;;;S;S;S;S;S;;S;;;S;S;;;S;;S;S;;S;S;;;;;;;;;;S;S;S;;;S;S;;;;;;;;;;;;;;;;;;;;;S;S;S;S;;S;;;;;;;;;;S;;S;;;;S;;S;;S;;S;;S;;;;;;;;;S;;S;;;S;;;S;;;S;;;;;2;1;1;1;;;;7;;10;;;;S;;;;4;2;;;;S;S;;S;;;;;;S;;4;;4;;;;;S;;S;S;;;S;;S;;S;S;S;S;S;;;S;S;S;S;S;S;S;S;S;;S;S;S;;S;S;S;S;;S;;;S;S;S;;;;;S;S;;;S;S;;;;;S;;;;S;S;S;;;;;;;;S;;;
Toyota Corolla Cross XRE 2.0 CVT 2526;Toyota;Corolla Cross;XRE 2.0 CVT;2025;2026;4460;1825;1620;2640;161;440;;1420;;;700;;;;;2.0;;;4;S;;175;209;6600;4400;;;S;;;;;;;;;;;;175;209;8,114285714;66,66666667;9,8;195;S;;;S;;S;1,84;11,2;13;7,6;8,8;47;;;10;8;S;18;225;225/50 R18;S;;;;S;S;S;S;S;;S;;;S;S;;;S;;S;S;;S;S;;;;;;;;;;S;S;S;;;S;;;S;;S;S;S;;;;;;;;;;;;;;;S;S;S;S;;S;;;;;;;;;;S;;S;;S;;S;S;S;;S;;S;;S;;;;S;;;;;S;S;S;;;S;;S;S;;;S;;;;;2;1;1;1;S;;;12,3;;10;;;;S;;;;4;2;;;;S;S;;S;;;;;;S;;4;;4;S;;S;;S;;S;S;;;S;;S;;S;S;S;S;S;;;S;S;S;S;S;S;S;S;S;;S;S;S;;S;S;S;S;;S;;;S;S;S;;;;S;S;S;;;S;S;;;;;S;;;;S;S;S;;;;;;;;S;;;
Toyota Corolla Cross XRX 2.0 CVT 2526;Toyota;Corolla Cross;XRX 2.0 CVT;2025;2026;4460;1825;1620;2640;161;440;;1420;;;700;;;;;2.0;;;4;S;;175;209;6600;4400;;;S;;;;;;;;;;;;175;209;8,114285714;66,66666667;9,8;195;S;;;S;;S;1,84;11,2;13;7,6;8,8;47;;;10;8;S;18;225;225/50 R18;S;;;;S;S;S;S;S;;S;;;S;S;S;;S;;S;S;;S;S;;;;;;;S;;;S;S;S;S;S;S;;;S;;S;S;S;S;;;;;;;;;;;;;;S;S;S;S;;S;;;;;;;;;;S;;S;;S;;S;S;S;;S;;S;;S;;;;S;;;;;S;S;S;;;S;;S;S;;;S;S;S;;;2;1;1;1;S;;;12,3;;10;;;;S;;;;4;2;;;;S;S;;;S;;;;;S;;4;;4;S;;S;;S;;S;S;;;S;;S;;S;S;S;S;S;;;S;S;S;S;S;S;S;S;S;;S;S;S;;S;S;S;S;;;S;;S;S;S;;;;S;S;S;;;S;S;;S;S;;S;;;;S;S;S;;;S;;;;;S;;;
Jeep Compass Sport 1.3 TGDI AT 2525;Jeep;Compass;Sport 1.3 TGDI AT;2025;2025;4404;1819;1625;2636;202;476;1180;1589;;400;;;;;;1.3;;S;4;S;;176;270;5750;1750;S;;;;6;;;;;;;;;;176;270;9,028409091;57,78181818;9,8;206;S;;;S;S;;1,97;10,1;12,1;7,3;8,6;55;;;5;5;S;18;225;225/55 R18;S;;;;S;S;S;;S;;S;;;S;S;;;S;;;S;;S;;;;;;;;;;;S;S;;;;S;S;;;;;;;;;;;;;;;;;;;;;S;S;;S;;S;;;;;;;;;;S;;S;;S;;S;;S;;S;;S;;S;;;;;;;S;;S;S;S;;;S;;S;S;;;S;;;1;1;1;1;1;1;;;;7;;8,4;;;;S;;;;4;2;;;;S;S;;;S;;;;;S;;4;;4;S;;S;;S;;S;S;;;S;S;S;S;S;S;S;S;S;;;S;;S;S;S;S;S;S;S;;S;S;S;;S;S;;S;;S;;;S;S;S;;;S;S;S;S;;;;;;;;;;;;;;;;;;;;;;;;;;
Jeep Compass Longitude 1.3 TGDI AT 2525;Jeep;Compass;Longitude 1.3 TGDI AT;2025;2025;4404;1819;1625;2636;202;476;1180;1589;;400;;;;;;1.3;;S;4;S;;176;270;5750;1750;S;;;;6;;;;;;;;;;176;270;9,028409091;57,78181818;9,8;206;S;;;S;S;;1,97;10,1;12,1;7,3;8,6;55;;;5;5;S;18;225;225/55 R18;S;;;;S;S;S;S;S;;S;;;S;S;;;S;;;S;;S;;;;;;;;;;;S;S;;;;S;;;S;;S;S;S;;;;;;;;;;;;;;;S;S;;S;;S;;;;;;;;;;S;;S;;S;;S;;S;;S;;S;;S;;;;;;;S;;S;S;S;;;S;;S;S;;;S;;;1;1;1;1;1;1;;;;10,25;;10,1;;;;S;S;;S;6;2;1;;;S;S;;;S;;;;;S;;4;;4;S;;S;;S;;S;S;;;S;S;S;S;S;S;S;S;S;;;S;;S;S;S;S;S;S;S;;S;S;S;;S;S;;S;;S;;;S;S;S;;;S;S;S;S;;;S;S;;;;;S;S;;;S;S;;;;;;;;S;S;;;
Jeep Compass Limited 1.3 TGDI AT 2525;Jeep;Compass;Limited 1.3 TGDI AT;2025;2025;4404;1819;1625;2636;202;476;1180;1589;;400;;;;;;1.3;;S;4;S;;176;270;5750;1750;S;;;;6;;;;;;;;;;176;270;9,028409091;57,78181818;9,8;206;S;;;S;S;;1,97;10,1;12,1;7,3;8,6;55;;;5;5;S;19;235;235/45 R19;S;;;;S;S;S;S;S;;S;;;S;S;;;S;;;S;;S;S;;;;;;;;;;S;S;;;;S;;;S;;S;S;S;S;;;;;;S;;;;;;;;S;S;;S;;S;;;;;;;;;;S;;S;;S;;S;;S;;S;;S;;S;;;;S;;;S;;S;S;S;;;S;;S;S;S;;S;S;S;1;1;1;1;1;1;S;;;10,25;;10,1;;;;S;S;;S;6;2;1;;;S;S;;;S;;;;;S;;4;;4;S;;S;;S;;S;S;;;S;S;S;S;S;S;S;S;S;;;S;S;S;S;S;S;S;S;S;;S;S;S;;S;S;;S;;S;;;S;S;S;;;S;S;S;S;;;S;S;;;;;S;S;;;S;S;;;;;;;;S;S;;;
Jeep Compass Serie S 1.3 TGDI AT 2525;Jeep;Compass;Serie S 1.3 TGDI AT;2025;2025;4404;1819;1625;2636;202;476;1180;1589;;400;;;;;;1.3;;S;4;S;;176;270;5750;1750;S;;;;6;;;;;;;;;;176;270;9,028409091;57,78181818;9,8;206;S;;;S;S;;1,97;10,1;12,1;7,3;8,6;55;;;5;5;S;19;235;235/45 R19;S;;;;S;S;S;S;S;;S;;;S;S;;;S;;;S;;S;S;;;;;;;;;S;S;S;;;;S;;;S;;S;S;S;S;;;;;;S;;;;;;;;S;S;;S;;S;;;;;;;;;;S;;S;;S;;S;;S;;S;;S;;S;;;;S;;;S;;S;S;S;;;S;;S;S;S;;S;S;S;1;1;1;1;1;1;S;;;10,25;;10,1;;;;S;S;;S;6;2;1;;;S;S;;;S;;;;;S;;4;;4;S;;S;;S;;S;S;;;S;S;S;S;S;S;S;S;S;;;S;S;S;S;S;S;S;S;S;;S;S;S;;S;S;S;S;S;S;;;S;S;S;;;S;S;S;S;;;S;S;;;S;;S;S;;;S;S;;;;S;;;;S;S;;;
Jeep Compass Overland 2.0 TGDI AT 2525;Jeep;Compass;Overland 2.0 TGDI AT;2025;2025;4404;1819;1640;2636;198;476;1180;1706;;400;;;;;;2.0;;S;4;S;;272;400;5200;3000;S;;;;9;;;;;;;;;;272;400;6,272058824;41,81372549;6,3;228;;;S;S;S;;2,36;8,5;10,8;;;55;;;5;5;S;19;235;235/45 R19;S;;;;S;S;S;S;S;;S;;;S;S;;;S;;;S;;S;S;;;;;;;;;;S;S;;;;S;;;S;;S;S;S;S;;;;;;S;;;;;;;;S;S;;S;;S;;;;;;;;;;S;;S;;S;;S;;S;;S;;S;;S;;;;S;;;S;;S;S;S;;;S;;S;S;S;;S;S;;1;1;1;1;1;1;S;;;10,25;;10,1;;;;S;S;;S;6;2;1;;;S;S;;;S;;;;;S;;4;;4;S;;S;;S;;S;S;;;S;S;S;S;S;S;S;S;S;;;S;S;S;S;S;S;S;S;S;S;S;S;S;;S;S;;S;;S;;;S;S;S;;;S;S;S;S;;;S;S;;;;;S;S;;;S;S;;;;;;;;S;S;;;
Jeep Compass Blackhawk 2.0 TGDI AT 2525;Jeep;Compass;Blackhawk 2.0 TGDI AT;2025;2025;4404;1819;1640;2636;198;476;1180;1706;;400;;;;;;2.0;;S;4;S;;272;400;5200;3000;S;;;;9;;;;;;;;;;272;400;6,272058824;41,81372549;6,3;228;;;S;S;S;;2,36;8,5;10,8;;;55;;;5;5;S;19;235;235/45 R19;S;;;;S;S;S;S;S;;S;;;S;S;;;S;;;S;;S;S;;;;;;;;;S;S;S;;S;S;S;;;S;;S;S;S;S;S;;;;;S;;;;;;;;S;S;;S;;S;;;;;;;;;;S;;S;;S;;S;;S;;S;;S;;S;;;;S;;;S;;S;S;S;;;S;;S;S;S;;S;S;;1;1;1;1;1;1;S;;;10,25;;10,1;;;;S;S;;S;6;2;1;;;S;S;;;S;;;;;S;;4;;4;S;;S;;S;;S;S;;;S;S;S;S;S;S;S;S;S;;;S;S;S;S;S;S;S;S;S;S;S;S;S;;S;S;S;S;S;S;;;S;S;S;;;S;S;S;S;;;S;S;;;S;;S;S;;;S;S;;;;S;;;;S;S;;;
VW Taos Comfortline 1.4 TGDI AT 2525;VW;Taos;Comfortline 1.4 TGDI AT;2025;2025;4461;1841;1626;2680;185;498;;1432;;470;;;;;;1.4;;S;4;S;;150;250;4500;1400;S;;;;8;;;;;;;;;;150;250;9,546666667;56,15686275;9,4;195;S;;;S;;S;1,81;11,1;13,1;7,7;9,3;51;;;3;;S;18;215;215/55 R18;S;;;;S;S;S;;;;S;;;;S;;;S;;;S;;S;;;S;;;;;;;;S;S;S;;;S;;;S;;S;;S;;;;;S;S;;;;;;;;;S;S;;S;;S;;;;;;;;;;S;;S;;S;;S;;;S;S;;;S;S;S;;;S;;;S;;S;S;S;;;;;S;;;;S;;;;;2;2;1;1;S;;;10,25;;10,1;;;S;;;;;4;2;;;;S;S;;;S;;;S;;S;;4;;2;S;;S;;S;;;S;;;S;S;S;S;S;S;S;S;S;;;S;;S;S;S;S;S;S;S;;S;S;S;;S;;S;S;;S;;;S;S;S;;;S;S;S;S;;;S;S;;;;;S;S;;;;;;;;;;;;;S;;;
VW Taos Highline 1.4 TGDI AT 2525;VW;Taos;Highline 1.4 TGDI AT;2025;2025;4461;1841;1626;2680;185;498;;1432;;470;;;;;;1.4;;S;4;S;;150;250;4500;1400;S;;;;8;;;;;;;;;;150;250;9,546666667;56,15686275;9,4;195;S;;;S;;S;1,81;11,1;13,1;7,7;9,3;51;;;3;;S;19;235;235/45 R19;S;;;;S;S;S;S;S;;S;;;;S;;;S;;;S;;S;S;;S;;S;;;;;;S;S;S;;;S;;;S;;S;;S;S;;;;S;S;;;;;;;;;S;S;;S;;S;S;S;;;;;;;;S;;S;;S;;S;S;;S;S;;;S;S;S;;;S;;;S;;S;S;S;;;;;S;S;;;S;;;;;2;2;1;1;S;;;10,25;;10,1;;;S;;;;;6;2;;;;S;S;;;S;;;S;;S;;4;;2;S;;S;;S;;;S;;;S;S;S;S;S;S;S;S;S;;;S;;S;S;S;S;S;S;S;;S;S;S;;S;;S;S;S;S;;;S;S;S;;;S;S;S;S;;;S;S;;S;S;;S;S;;;S;S;;;;S;;;;;S;;;
BYD Yuan Plus GL EV 2525;BYD;Yuan Plus;GL EV;2025;2025;4455;1875;1615;2720;150;312;;1700;;;;;;;S;;;;;;;;;;;;;;;;S;204;310;;;60,48;7;80;;204;310;8,333333333;53,79746835;7,3;160;S;;;S;;S;0,56;39,8;33,1;;;;294;;5;8;S;18;215;215/55 R18;S;;;;S;S;S;S;;;S;;;;S;;;S;;;S;S;S;S;;;;S;;;;;S;S;S;S;;;;S;;;;S;S;S;S;;;;;;;;;;;;;;;S;S;S;;;;;;;;;;;;S;;S;;S;;S;S;;S;;S;;S;S;;;;S;;;S;;S;S;S;;;S;;;S;S;;S;S;;1;1;1;1;1;1;S;;;5;;12,8;;S;;S;S;;;6;2;;;;S;S;;S;;;;S;;S;;4;;4;S;;S;;S;S;;S;;;S;S;S;S;S;S;S;S;S;;;S;;S;S;S;S;S;S;S;S;S;S;S;;S;S;S;S;;;S;;S;S;S;;;S;;S;S;;;S;S;S;;S;S;S;;;;S;S;;;;S;;;;S;;;;
BYD Yuan Pro GS EV 2525;BYD;Yuan Pro;GS EV;2025;2025;4310;1830;1675;2620;170;265;1210;1550;;;;;;;S;;;;;;;;;;;;;;;;S;177;290;;;45,1;6,6;60;S;177;290;9,604519774;57,43243243;7,9;160;S;;;S;;S;0,51;44;35,7;;;;250;;6;8;S;17;215;215/60 R17;S;;;;S;S;S;;;;S;;;;S;;;S;;S;S;;S;S;;;;S;;;;;;S;S;S;;;;;S;;;S;S;S;S;S;;;;;;;;;;;;;;S;S;S;;;;;;;;;;;;S;;S;;S;;S;S;;S;;S;;S;S;;;;;;;S;;S;S;S;;;S;;;S;S;;S;S;S;1;1;1;1;1;1;S;;;8,8;;12,8;;S;;S;S;S;;4;2;;;;S;;;S;;;;S;;;;4;;4;S;S;S;;S;S;;S;;;S;;S;;S;S;S;S;S;;;S;;S;S;S;S;S;S;S;S;S;S;S;;S;S;S;S;;;S;;S;S;S;;;S;;S;S;;;;;;;;;;;;;;;;;;;;;;;;;;
BYD Dolphin Mini GS EV 2525;BYD;Dolphin;Mini GS EV;2025;2025;3780;1715;1580;2500;110;230;;1239;1568;;;;;;S;;;;;;;;;;;;;;;;S;75;135;;;38;6,6;40;;75;135;16,52;89,7826087;14,9;130;S;;;S;;S;0,41;58,6;41,9;;;;280;;5;8;S;16;175;175/55 R16;;;;;S;S;S;;;;S;;;;S;;;S;;S;S;;S;;;;;S;;;;;;;S;S;;;;;;S;;S;S;S;S;;;;;;;;;;;;;;;S;S;;;;;;;;;;;;;S;;S;;S;;S;S;;S;;;;S;S;;;;;;;;;S;;S;;;S;;;S;S;;S;S;S;1;;1;;1;1;S;;;7;;10,1;;S;;S;S;S;;4;;;;;S;;S;;;;;;;;;4;;1;S;S;S;;S;S;;S;;;S;S;S;;S;S;S;S;S;;S;S;;S;S;S;S;S;S;S;;S;S;S;;S;S;;S;;S;;;S;S;S;;;S;;S;S;;;;;;;;;;;;;;;;;;;;;;;;;;
BYD Dolphin GS EV 2525;BYD;Dolphin;GS EV;2025;2025;4125;1770;1570;2700;120;250;;1412;1815;;;;;;S;;;;;;;;;;;;;;;;S;95;180;;;44,9;6,6;60;;95;180;14,86315789;76,73913043;10,9;160;S;;;S;;S;0,42;51,9;43,5;;;;291;;5;8;S;16;195;195/60 R16;S;;;;S;S;S;;;;S;;;;S;;S;S;;S;S;;S;;;;;S;;;;;;;S;S;;;;;S;;;S;S;S;;;;;;;;;;;;;;;;S;;;;;;;;;;;;;;S;S;;;S;;S;S;;S;;S;;S;S;;;;;;;;;S;;S;;;S;;;S;S;;S;S;S;;;2;2;1;1;;;;5;;12,8;;S;;S;S;S;;6;2;;;;S;;;S;;;;S;S;;;4;;4;S;;S;;S;S;;S;;;S;S;S;;S;S;S;S;S;;S;S;;S;S;S;S;S;S;S;;S;S;S;;S;S;;S;;;S;;S;S;S;;;S;;S;S;;;;;;;;;;;;;;;;;;;;;;;;;;
BYD Dolphin Plus EV 2525;BYD;Dolphin;Plus EV;2025;2025;4290;1770;1570;2700;150;345;;1672;2068;;;;;;S;;;;;;;;;;;;;;;;S;204;310;;;60,48;7;80;;204;310;8,12745098;52,46835443;7;160;S;;;S;;S;0,51;42,1;36,8;;;;330;;5;8;S;17;205;205/50 R17;;;;;S;S;S;S;;;S;;;;S;;S;S;;S;S;;S;S;;;;S;;;;;S;;S;S;;;;;;S;;S;S;S;S;S;;;;;;;;;;;;;;S;S;S;;;S;S;;;;;;;;S;;S;;S;;S;S;;S;;S;;S;S;;;;;;;;;S;S;S;;;S;;;S;S;;S;S;S;1;1;1;1;1;1;S;;;5;;12,8;;S;;S;S;S;;6;;;;;S;;;S;;;;S;S;;;4;;4;S;;S;;S;S;;S;;;S;S;S;;S;S;S;S;S;;S;S;;S;S;S;S;S;S;S;;S;S;S;;S;S;S;S;;;S;;S;S;S;;;S;;S;S;;;S;S;S;S;S;S;S;;;;S;S;;S;S;S;;;S;S;S;;;
GWM Ora 03 Skin EV 2526;GWM;Ora 03;Skin EV;2025;2026;4235;1825;1603;2650;135;228;858;1570;;;;;;;S;;;;;;;;;;;;;;;;S;171;250;;;48;11;64;;171;250;9,18128655;61,56862745;8,2;160;S;;;S;;S;0,52;41,7;35,7;;;;232;;5;8;S;18;215;215/50 R18;S;;;;S;S;S;S;;;S;;;;S;;;S;;;S;;S;S;S;;;S;;;;;;;S;S;S;S;;;;S;;S;S;S;;;;;;;;;;;;;;;S;S;;S;;;;;;;;;;;;S;;S;;S;;S;;;S;;S;;S;S;;;;;;;S;;S;;S;;;S;;;S;;;S;S;S;2;1;;;1;1;;;;10,25;;10,25;;;;S;S;;;4;2;;;;S;S;;S;;;;;;;;4;;4;S;;;S;S;S;;S;;;S;S;S;S;S;S;S;S;S;;S;S;;S;S;S;S;S;S;S;S;S;S;S;;S;S;;S;S;;S;;S;S;S;;;S;S;S;S;S;;S;S;S;S;S;S;S;S;;S;S;S;S;S;;S;;;S;S;S;;;
GWM Ora 03 GT EV 2526;GWM;Ora 03;GT EV;2025;2026;4254;1848;1603;2650;135;228;858;1670;;;;;;;S;;;;;;;;;;;;;;;;S;171;250;;;63;11;67;;171;250;9,766081871;65,49019608;8,2;160;S;;;S;;S;0,54;41,1;33,7;;;;295;;5;8;S;18;215;215/50 R18;S;;;;S;S;S;S;;;S;;;;S;;;S;;;S;;S;S;S;;;S;;;;;S;;S;S;S;S;;;;S;;S;S;S;S;S;;;;;;;;;S;S;;S;S;S;;S;;;;;;S;S;S;S;;;S;;S;;S;;S;;;S;;S;;S;S;;;;S;;;S;;S;S;S;;;S;;;S;;;S;S;S;2;1;;;1;1;S;;;10,25;;10,25;;;;S;S;;;4;2;;;;S;S;;S;;;;;;;;4;;4;S;;;S;S;S;;S;;;S;S;S;S;S;S;S;S;S;;S;S;;S;S;S;S;S;S;S;S;S;S;S;;S;S;S;S;S;;S;;S;S;S;;;S;S;S;S;S;;S;S;S;S;S;S;S;S;;S;S;S;S;S;;S;;;S;S;S;;;
